[[0.55211294f32, 0.92269695f32, 0.9263346f32, 0.76031244f32, 4.4560432e-2f32, 0.15218955f32, 0.8324485f32, 0.4641732f32, 0.42986304f32, 0.23069465f32, 0.64630336f32, 0.39444554f32, 0.4127522f32, 0.9278825f32, 0.29872316f32, 0.8212209f32, 4.471904e-2f32, 0.87854564f32, 0.16331613f32, 0.5252652f32, 9.7780704e-2f32, 0.80848676f32, 0.22444439f32, 0.9110458f32, 0.25036442f32, 0.7006035f32, 0.53238165f32, 0.7711636f32, 0.67057896f32, 0.16556478f32, 0.6467155f32, 0.60063607f32, 0.46314824f32, 0.73121196f32, 5.266297e-2f32, 0.652202f32, 0.3082754f32, 0.5034889f32, 0.5236784f32, 0.17770082f32, 0.6610218f32, 0.20861006f32, 0.60866684f32, 0.44252676f32, 0.8148357f32, 0.18067193f32, 0.73747647f32, 0.7319014f32, 2.4639368e-2f32, 0.8380572f32, 0.736061f32, 0.41109872f32, 0.97254246f32, 0.4919759f32, 0.61829764f32, 0.5953416f32, 0.438626f32, 0.18018663f32, 0.2503978f32, 0.618888f32, 0.7877535f32, 0.92157996f32, 0.5968014f32, 1.5969336e-2f32],
[0.67572224f32, 0.9022275f32, 0.78252435f32, 0.5619004f32, 0.94436836f32, 0.40163505f32, 0.9277207f32, 4.900664e-2f32, 0.8011209f32, 0.67313135f32, 0.24513769f32, 0.74249893f32, 0.45137405f32, 0.25675994f32, 0.25054067f32, 0.3775534f32, 0.65541106f32, 0.7655616f32, 0.63747716f32, 0.5631708f32, 9.58575e-2f32, 0.8607286f32, 0.8503865f32, 0.7445724f32, 0.8953132f32, 0.8259711f32, 0.8482762f32, 0.6518275f32, 0.7497711f32, 0.25340575f32, 0.31039017f32, 0.1532759f32, 2.9136896e-2f32, 0.7024445f32, 0.7030031f32, 0.5880905f32, 0.53045523f32, 0.16044557f32, 0.28698444f32, 0.44248056f32, 8.750111e-2f32, 0.107227445f32, 0.1942845f32, 0.121765375f32, 7.223266e-2f32, 0.5250039f32, 0.3094774f32, 0.8978338f32, 0.5202397f32, 0.5582217f32, 0.2460767f32, 0.55580735f32, 0.29283273f32, 0.8661356f32, 3.8260758e-2f32, 0.23761868f32, 0.3720811f32, 0.41434133f32, 0.20263994f32, 0.35417622f32, 0.6023569f32, 0.5779879f32, 0.33169717f32, 0.3039583f32],
[0.42280197f32, 0.13046205f32, 0.28350902f32, 6.716949e-2f32, 0.124046266f32, 0.39663136f32, 0.83156914f32, 1.8637896e-2f32, 0.6040622f32, 0.34183115f32, 0.86085796f32, 0.43793714f32, 1.965022e-2f32, 0.7525996f32, 0.5985304f32, 3.0713677e-3f32, 0.6281156f32, 7.121885e-2f32, 0.26254612f32, 0.76589763f32, 2.1083772e-2f32, 0.54837567f32, 0.6988703f32, 0.4396016f32, 0.5467516f32, 0.79143435f32, 0.31126875f32, 0.15151137f32, 0.9819227f32, 0.8033997f32, 0.91255695f32, 0.20987177f32, 0.5302993f32, 0.6355233f32, 0.527027f32, 0.94709367f32, 0.90109926f32, 8.350718e-2f32, 0.6815579f32, 0.83614427f32, 0.6928093f32, 0.73338604f32, 0.18354714f32, 8.724576e-2f32, 2.1616697e-2f32, 0.3193698f32, 0.14742845f32, 0.23953408f32, 0.71298766f32, 0.24897933f32, 0.17319858f32, 0.9597772f32, 0.7357896f32, 0.5902521f32, 0.9869601f32, 0.4082592f32, 0.6117549f32, 0.63216937f32, 1.0586202e-2f32, 0.104343355f32, 0.9467849f32, 0.29611552f32, 0.5509408f32, 0.35603696f32],
[7.6814055e-2f32, 0.20056921f32, 0.29992932f32, 0.20431608f32, 0.59024286f32, 0.5916691f32, 0.55893636f32, 0.9116748f32, 0.9895894f32, 0.18164194f32, 5.6748807e-2f32, 0.2309609f32, 0.9562888f32, 0.51962984f32, 0.7883408f32, 0.92459637f32, 0.16602492f32, 0.40872854f32, 3.1107783e-2f32, 0.9365793f32, 0.118882656f32, 0.6753001f32, 0.15976822f32, 0.36094695f32, 0.9781698f32, 0.49560267f32, 0.33353275f32, 0.8136414f32, 0.56982744f32, 0.936634f32, 0.9203514f32, 0.70809853f32, 8.392036e-3f32, 0.2030927f32, 0.31932682f32, 0.9604369f32, 7.8091025e-2f32, 0.15632099f32, 0.31288368f32, 0.6812258f32, 0.1682241f32, 0.6885296f32, 0.31973976f32, 0.4456432f32, 6.1362028e-2f32, 0.15727746f32, 0.44977677f32, 0.63282704f32, 0.94105023f32, 0.28006053f32, 5.806899e-2f32, 0.19297296f32, 0.25769174f32, 0.7316155f32, 0.3686887f32, 0.9147399f32, 0.38614267f32, 0.24322724f32, 0.2471295f32, 0.8990422f32, 0.42138392f32, 0.75291324f32, 0.5868329f32, 0.17958772f32],
[0.14814621f32, 0.8983105f32, 0.5569595f32, 0.32149637f32, 0.34443825f32, 2.2589326e-2f32, 0.57474947f32, 0.9994949f32, 0.52572215f32, 0.26401693f32, 0.48509228f32, 0.31171346f32, 0.15411127f32, 0.36391497f32, 0.28745592f32, 0.23976696f32, 0.2313503f32, 0.89456487f32, 0.3714288f32, 7.847524e-2f32, 0.47957617f32, 2.6230037e-2f32, 0.7877656f32, 6.474042e-2f32, 0.43899024f32, 0.72693706f32, 0.60720736f32, 0.7276281f32, 0.8606837f32, 0.74906814f32, 0.20756567f32, 0.98693794f32, 8.735663e-2f32, 0.5077826f32, 0.99912673f32, 0.28798354f32, 0.16677946f32, 0.35838145f32, 0.9787156f32, 0.5992013f32, 0.52426696f32, 0.34871274f32, 0.39058012f32, 3.795719e-2f32, 0.7840268f32, 0.9703445f32, 0.3031177f32, 0.52023256f32, 5.5389166e-2f32, 0.4306997f32, 0.95638496f32, 1.6242206e-2f32, 0.9855772f32, 0.7602631f32, 0.8628107f32, 0.8172226f32, 0.43278426f32, 0.5067256f32, 0.2339207f32, 0.67166364f32, 0.3523705f32, 6.559402e-2f32, 0.55739737f32, 0.866397f32],
[0.9129479f32, 0.32612252f32, 0.13535392f32, 0.37803477f32, 0.29524207f32, 0.28490692f32, 0.292489f32, 0.14238697f32, 0.45826983f32, 0.1376853f32, 0.5868043f32, 0.7518691f32, 0.92739725f32, 0.88786197f32, 0.97457033f32, 0.8548661f32, 5.6017876e-2f32, 0.4535966f32, 0.17018312f32, 4.8501432e-2f32, 0.5460757f32, 0.26893902f32, 0.6963403f32, 0.20547748f32, 0.7243728f32, 0.6218188f32, 0.85859996f32, 0.2551903f32, 0.4939522f32, 0.5622082f32, 0.289356f32, 0.5852655f32, 0.7584315f32, 0.7387812f32, 0.87589276f32, 0.48629987f32, 0.7476826f32, 0.594803f32, 6.7861676e-3f32, 0.52437913f32, 0.558087f32, 0.9124516f32, 0.86665213f32, 0.50266254f32, 0.5084637f32, 0.9379964f32, 0.5860794f32, 3.767699e-2f32, 0.95562935f32, 0.4326436f32, 0.64981383f32, 1.751113e-2f32, 0.5335245f32, 0.31361574f32, 0.3256424f32, 0.27050185f32, 0.25332177f32, 0.9460269f32, 0.68059015f32, 0.894062f32, 0.2995659f32, 0.1482526f32, 0.46775246f32, 0.78575957f32],
[0.6805604f32, 0.31584907f32, 6.541145e-2f32, 0.30923975f32, 0.2647634f32, 0.71609503f32, 0.7032472f32, 0.22687191f32, 0.27405733f32, 0.15996075f32, 0.1870839f32, 0.9307031f32, 0.2777472f32, 0.25736582f32, 0.9543364f32, 0.9578724f32, 0.49862176f32, 4.3043554e-2f32, 0.82910556f32, 0.19327652f32, 0.57760024f32, 0.9990147f32, 0.23030019f32, 0.24491328f32, 0.73042035f32, 0.39577037f32, 0.4887799f32, 0.68292296f32, 0.6630942f32, 0.3275829f32, 0.6788205f32, 0.51527834f32, 0.3940662f32, 0.21677434f32, 0.6503434f32, 4.5166194e-2f32, 0.7988053f32, 0.23255402f32, 0.20511997f32, 0.3585812f32, 0.81287515f32, 0.2066763f32, 0.9238027f32, 0.13009274f32, 0.23458618f32, 0.8256135f32, 0.15444434f32, 0.65759754f32, 0.38953698f32, 0.6758761f32, 0.78309965f32, 0.6537293f32, 0.34519547f32, 3.921646e-2f32, 0.26167852f32, 0.25366014f32, 0.3226912f32, 0.91669494f32, 0.89126f32, 0.2693541f32, 0.5225531f32, 0.45630586f32, 0.7522593f32, 0.86589074f32],
[0.67278886f32, 0.35088885f32, 0.1735993f32, 0.4867987f32, 0.73237944f32, 0.48324293f32, 0.9068894f32, 0.3027901f32, 0.12575126f32, 0.47135162f32, 0.46588838f32, 0.16236877f32, 0.93777555f32, 0.97260326f32, 8.702433e-2f32, 0.20061255f32, 0.74932516f32, 0.23480308f32, 0.3224259f32, 0.9669697f32, 0.11264497f32, 0.41237295f32, 0.19537193f32, 0.16927248f32, 0.67630893f32, 9.048474e-2f32, 0.88880354f32, 0.13221055f32, 3.074205e-2f32, 0.49456084f32, 0.6378404f32, 0.41743082f32, 4.5535684e-2f32, 0.56993544f32, 0.7014823f32, 0.61123705f32, 0.6736342f32, 1.6596913e-2f32, 0.9944853f32, 0.87427217f32, 0.45294213f32, 0.69596684f32, 0.17026979f32, 0.49174154f32, 0.13063008f32, 0.36932063f32, 1.7581582e-2f32, 1.6922295e-2f32, 0.97668093f32, 0.6204817f32, 0.32069373f32, 0.7248192f32, 0.42184567f32, 0.31824464f32, 0.3884036f32, 0.8071332f32, 0.8438131f32, 0.29881656f32, 0.8880241f32, 0.8173844f32, 0.30301505f32, 0.70582664f32, 0.33406538f32, 0.4608919f32],
[0.17891419f32, 0.86495066f32, 0.16344482f32, 0.6622603f32, 1.4230013e-3f32, 0.4521029f32, 0.30237854f32, 0.2294352f32, 0.3339951f32, 0.404401f32, 0.8414881f32, 0.2358188f32, 0.9207659f32, 7.964915e-2f32, 0.74880743f32, 0.19219303f32, 0.4072321f32, 0.22225773f32, 0.76798105f32, 0.75313896f32, 0.97815585f32, 0.89814264f32, 0.38799387f32, 0.22971046f32, 0.6777196f32, 0.55308867f32, 0.5330118f32, 0.9823171f32, 0.189143f32, 0.55933094f32, 0.6637864f32, 0.40004098f32, 0.9530097f32, 0.11281443f32, 0.19462806f32, 0.98583305f32, 0.80057f32, 0.25295705f32, 0.80110943f32, 0.24358362f32, 0.65285444f32, 0.79875576f32, 0.7525484f32, 0.8057753f32, 0.9710716f32, 0.12501311f32, 0.33070356f32, 0.41509056f32, 0.5813835f32, 0.501447f32, 0.9515375f32, 0.4622782f32, 5.2599013e-2f32, 0.86041117f32, 0.16280693f32, 0.60763603f32, 5.3642333e-2f32, 0.5764837f32, 0.11825383f32, 0.42555857f32, 0.9500848f32, 0.13763344f32, 0.76916116f32, 0.89533114f32],
[0.34550655f32, 0.52903056f32, 0.5927685f32, 0.17244208f32, 0.29047006f32, 0.726328f32, 0.88744324f32, 0.4779998f32, 8.164704e-3f32, 0.884362f32, 0.31393552f32, 0.1532523f32, 0.38263416f32, 0.4990245f32, 0.6762347f32, 0.36260056f32, 0.78627276f32, 0.4735722f32, 0.38760823f32, 4.1746736e-2f32, 0.49273133f32, 5.983472e-2f32, 0.92170763f32, 0.13025618f32, 0.18635792f32, 0.7114929f32, 0.7599477f32, 0.70687866f32, 0.5900223f32, 0.4161942f32, 0.90231043f32, 0.19008541f32, 0.72240806f32, 0.90239173f32, 0.2535674f32, 0.3529986f32, 0.83441013f32, 0.80288416f32, 0.9320494f32, 0.9956043f32, 0.32955533f32, 0.7452718f32, 0.61294615f32, 0.43353963f32, 0.47164494f32, 0.5508642f32, 0.9851221f32, 0.4497803f32, 0.59643745f32, 0.7476381f32, 0.88963854f32, 0.3234489f32, 0.51398027f32, 0.39814126f32, 2.4776578e-2f32, 0.42341906f32, 0.89713f32, 0.75682694f32, 0.30427688f32, 0.81733906f32, 1.770258e-2f32, 0.24968725f32, 0.87137944f32, 0.85634774f32],
[0.19255573f32, 0.4007302f32, 0.4362926f32, 0.5703225f32, 0.173406f32, 0.82165825f32, 0.6524997f32, 0.23427337f32, 3.5730004e-2f32, 0.7724724f32, 8.092272e-2f32, 0.62858367f32, 0.87645024f32, 0.29488236f32, 0.8691938f32, 0.14974886f32, 0.8153982f32, 0.87230355f32, 0.38672376f32, 0.7277566f32, 5.00347e-2f32, 0.4590739f32, 0.9877712f32, 0.37527877f32, 0.15156674f32, 2.8890014e-2f32, 0.24870133f32, 0.1771602f32, 0.26778787f32, 0.4525289f32, 0.37228483f32, 5.169046e-2f32, 7.213551e-2f32, 0.24579555f32, 0.3215204f32, 0.40750355f32, 0.2152555f32, 0.9558079f32, 0.5929975f32, 0.15322131f32, 0.3530653f32, 0.9284711f32, 0.49516135f32, 0.8210762f32, 0.29260266f32, 0.48857433f32, 0.32058018f32, 0.14737517f32, 0.3525921f32, 0.6201178f32, 0.7614707f32, 0.7091962f32, 0.32434165f32, 0.7115009f32, 0.9594487f32, 0.7927756f32, 0.923465f32, 0.9277475f32, 0.17267919f32, 0.415397f32, 0.8628125f32, 2.7464688e-2f32, 0.898643f32, 0.71028924f32],
